caption	url	Visible	Subjective	Action	Story	Meta	Irrelevant	Other	When	How	Where	Comment
a model walks the runway at the fashion show during spring .	https://cdn2.thebridalbox.com/wp-content/uploads/2016/04/Pink-Siren-Indian-wedding-dress.jpg	0	0	0	0	0	1	0	0	0	0	
the pizza at restaurant is seen .	https://burpple-2.imgix.net/foods/3d9293f776118b620c41595220_original.?w=645&dpr=1&fit=crop&q=80	1	0	0	0	1	0	0	0	1	0	
people in love with person	https://i.pinimg.com/736x/53/67/0f/53670fc9b677acd4013ef9f5c36594a6--shawarma-adrienne-palicki.jpg	0	0	0	0	0	0	1	0	0	0	text
twin beds in the cabin	https://odis.homeaway.com/odis/listing/e210302b-9709-4763-b122-63e7165c22a9.c10.jpg	1	0	0	0	1	0	0	0	1	0	
a chimpanzee in a forest	http://slideplayer.com/4693162/15/images/41/Rwanda%2C+cannot+protect+the+gorilla+due+to+poor+funding..jpg	1	0	0	0	0	0	1	0	0	0	text, also is a gorilla a chimpanzee? maybe true
baseball player pitches against sports team .	https://www.ocregister.com/wp-content/uploads/2017/08/astros-angels-baseball_24384535_7298186.jpg?w=620	1	0	1	0	0	0	0	0	0	0	
a tattoo on the left wrist .	https://ars.els-cdn.com/content/image/1-s2.0-S0749806315000857-gr2.jpg	0	0	0	0	0	1	1	0	0	0	don't think that this is true
a diagram of a worm	http://slideplayer.com/1739458/7/images/81/Mating+in+terrestrial+worms%3A+Worms+usually+mate+at+night+in+late+summer%2C+but+will+mate+other+times+if+the+conditions+are+favorable..jpg	1	0	0	0	0	0	1	0	0	0	text but relevant
digital illustration of a snake	https://vecto.rs/600/vector-of-a-2013-snake-wearing-a-santa-hat-by-hit-toon-39665.jpg	1	0	0	0	0	0	0	0	0	0	
vector illustration of cute girl riding a bicycle	https://image.shutterstock.com/z/stock-vector-cute-little-girl-with-a-bicycle-309759515.jpg	1	1	1	0	0	0	0	0	0	0	
an ornament hangs on a christmas tree .	https://st2.depositphotos.com/4517285/8424/i/950/depositphotos_84244622-stock-photo-christmas-gingerbread-in-the-shape.jpg	1	0	0	0	0	0	0	0	0	0	
a city for sale property .	https://server.propctrl.com/Image.ashx?Id=79715c92-e795-4304-b5b0-99244824c4a8&userId=9917	1	0	0	1	0	0	0	0	0	0	
christmas seamless pattern with the image of funny animals in cartoon style .	https://thumb1.shutterstock.com/display_pic_with_logo/175377562/724261024/stock-vector-seamless-christmas-pattern-with-a-dog-and-a-tree-vector-illustration-724261024.jpg	1	1	0	0	0	0	0	0	0	0	
biological genus in the rain	https://media.istockphoto.com/photos/roses-and-their-reflection-in-the-water-picture-id815867070?k=6&m=815867070&s=612x612&w=0&h=oID8-8p7Zm4BQXIRYq02zP_IlAEZbToysPwThwZifsc=	1	0	0	0	0	0	0	0	0	0	
a general view of the skyline .	https://i0.wp.com/www.thinkingoftravel.com/wp-content/uploads/2015/02/vancouver-skyline-night.jpg?fit=730%2C528&ssl=1	1	0	0	0	1	0	0	0	0	1	
person , a female chimpanzee and her baby .	http://i.dailymail.co.uk/i/pix/2012/12/23/article-2252532-16948843000005DC-477_634x700.jpg	1	0	0	0	0	0	0	0	0	0	
country artist attends a baseball game .	https://media.gettyimages.com/photos/sam-querrey-of-the-us-plays-the-aegon-championships-2017-quarter-at-picture-id800172592?s=612x612	0	0	0	0	0	1	0	0	0	0	junk
a bridge in the woods .	https://i0.wp.com/visit-twincities.com/wp-content/uploads/2017/12/5679032785_e043e44c46_b.jpg?resize=1024%2C685	0	0	0	0	1	0	1	0	1	0	a chair in the woods not bridge
embroidery on a plate	https://i.pinimg.com/736x/18/10/df/1810df1dc0ef02b708b2acaf9f804a7c--trays.jpg	1	0	0	0	0	0	0	0	0	0	
biological species perched on a branch	https://whalesarecalling.files.wordpress.com/2014/04/img_9757.jpg	1	0	0	0	0	0	0	0	0	0	
the many faces of pop artist	https://i.imgur.com/nVcEIGX.jpg	1	0	0	0	0	0	0	0	0	0	
image of : painting a floor	https://i.pinimg.com/736x/06/75/67/0675679b17da9124f9c4ee4bcf3db6b5--couches.jpg	1	0	0	0	0	0	0	0	0	0	
sliding glass door from the inside	https://i.pinimg.com/736x/b1/3a/86/b13a86992df27a2d402ff9bcd1a2480e.jpg	1	0	0	0	1	0	0	0	1	0	
dining room in a bedroom plus den unit .	http://img.property-krakow.com/photos/9/9e668d69896aa6d1cfeb8649d871c6e5.jpg	0	0	0	0	0	0	1	0	0	0	 image not appearing
doll in a red dress	https://izannahwalker.files.wordpress.com/2014/04/img_9642.jpg	1	0	0	0	0	0	0	0	0	0	
classic cocktail from the ####s	https://inthemix.on-premise.com/wp-content/uploads/2008/08/capricorn1-633x1024.jpg	1	0	0	0	0	0	1	0	0	0	text unsure if relevant
christmas ornaments on a tree	https://i.pinimg.com/736x/00/03/1f/00031fc43be3c10bf9350ec6a6061c6e--kappa-delta-fundraiser.jpg	1	0	0	0	0	0	1	0	0	0	text relevant
how to paint a coffee table .	https://i.pinimg.com/736x/e8/0f/37/e80f37c4a034cd2f554134b279f2f744--foyer-design-my-spring.jpg	0	0	0	1	0	0	0	0	0	0	
building seen from the top of a skyscraper	http://l7.alamy.com/zooms/fe6d6bba8b174e68b6422979f245fa70/a-man-takes-a-picture-with-his-phone-of-the-taipei-101-tower-at-night-jfbwca.jpg	1	0	0	0	1	0	0	0	1	0	
a quilt designed by person	https://i.pinimg.com/736x/76/e7/59/76e759dd59c0294db7b4b141a0e5038b--cross-stitch-kits-cross-stitch-patterns.jpg	1	0	0	1	0	0	0	0	0	0	
comedian arrives at the premiere	https://cdn.carbase.com//dealerx/stlouismotorcara5112//blogs/lamborghinipolice.jpg	1	0	0	0	1	0	0	1	1	0	
a butterfly in a box	https://i.pinimg.com/736x/4f/55/bf/4f55bf4d70d6975824b4887aaeb6be3e--soft-colors-butterfly-cards.jpg	1	0	0	0	0	0	1	0	0	0	text, also not quite true
black and white vintage illustration of a bottle of beer .	http://l7.alamy.com/zooms/aca8e5a0d7074aed8a7f0807f939143f/original-advert-from-1950s-news-magazine-advertising-black-white-scotch-cecpea.jpg	1	0	0	0	0	0	1	0	0	0	not quite true, not a bottle of beer (also text relevant)
a campfire in the mountains	https://i.pinimg.com/736x/f6/c0/e2/f6c0e2c6946cea38360922bc873d8fe9--camp-fire-jolly.jpg	1	0	0	0	1	0	0	0	1	0	
person in a blue dress	https://i.pinimg.com/736x/a2/fc/b6/a2fcb6e64fc84d31b3b50ae7887c57a7--sari-dress-teen-dresses.jpg	1	0	0	0	0	0	0	0	0	0	
pencil drawing of a face	https://res.cloudinary.com/fleetnation/image/private/c_fit,w_1120/g_south,l_text:style_gothic2:%C2%A9%20David%20Krug,o_20,y_10/g_center,l_watermark4,o_25,y_50/v1421085126/il7hzegwikzm4cga9htu.jpg	0	0	0	0	0	1	0	0	0	0	junk
ferris wheel against a blue sky	https://i.pinimg.com/736x/96/9f/7d/969f7dc7a1f724d39184ee23e996955a--santa-monica-figure-it-out.jpg	1	0	0	0	0	0	0	0	0	0	
the team on stage during awards .	http://images.marketing-interactive.com.s3.amazonaws.com/wp-content/uploads/2016/02/DSC_4056.jpg	1	0	0	0	1	0	0	1	0	0	
person at work in the studio	https://media.gettyimages.com/photos/artist-bart-forbes-paints-historic-moments-of-the-players-to-be-in-picture-id86457577?s=612x612	1	0	0	0	1	0	0	0	1	0	
golfer on the 2nd tee during day	https://media.gettyimages.com/photos/ian-leggatt-during-the-first-round-of-the-2005-us-open-golf-at-2-picture-id120945696?s=612x612	1	0	0	0	1	0	0	1	1	0	
